Execution Time,Matrix Size
0.004,0
0.003,1
0.002,2
0.002,3
0.004,4
0.003,5
0.006,6
0.006,7
0.007,8
0.009,9
0.01,10
0.013,11
0.016,12
0.022,13
0.023,14
0.03,15
0.034,16
0.073,17
0.047,18
0.054,19
0.063,20
0.084,21
0.054,22
0.059,23
0.067,24
0.075,25
0.084,26
0.093,27
0.105,28
0.117,29
0.128,30
0.141,31
0.169,32
0.185,33
0.242,34
0.201,35
0.218,36
0.236,37
0.254,38
0.274,39
0.295,40
0.317,41
0.498,42
0.396,43
0.424,44
0.785,45
0.573,46
0.52,47
0.861,48
0.585,49
0.612,50
0.672,51
1.14,52
0.787,53
0.739,54
0.748,55
0.876,56
0.832,57
0.885,58
0.951,59
0.971,60
1.021,61
1.068,62
1.15,63
1.172,64
1.227,65
1.284,66
1.338,67
1.4,68
1.462,69
1.526,70
1.613,71
1.656,72
2.192,73
1.799,74
1.871,75
2.704,76
2.496,77
2.15,78
2.371,79
2.273,80
2.352,81
2.442,82
2.528,83
2.658,84
2.712,85
2.804,86
3.082,87
3.049,88
3.168,89
3.221,90
4.792,91
6.068,92
3.836,93
3.687,94
3.83,95
3.919,96
4.087,97
4.181,98
5.769,99
4.486,100
4.67,101
5.004,102
4.892,103
4.976,104
5.148,105
5.265,106
7.718,107
5.576,108
5.733,109
5.968,110
6.5,111
6.2,112
7.299,113
9.461,114
6.74,115
6.891,116
7.137,117
7.265,118
9.73,119
7.649,120
7.826,121
8.102,122
10.775,123
8.399,124
8.718,125
11.256,126
9.807,127
10.441,128
9.498,129
9.778,130
9.913,131
10.155,132
10.37,133
12.912,134
10.842,135
11.143,136
11.911,137
14.057,138
11.912,139
12.174,140
12.333,141
12.703,142
12.86,143
13.071,144
13.398,145
13.981,146
14.015,147
14.959,148
14.566,149
14.867,150
15.121,151
15.425,152
18.213,153
16.123,154
21.604,155
19.173,156
17.636,157
17.283,158
19.145,159
18.086,160
19.39,161
19.57,162
19.061,163
19.408,164
20.098,165
20.29,166
20.418,167
20.774,168
21.193,169
21.665,170
28.391,171
22.458,172
23.299,173
24.16,174
25.434,175
25.783,176
29.845,177
30.616,178
25.096,179
28.242,180
29.167,181
29.213,182
27.44,183
30.05,184
27.971,185
28.86,186
32.35,187
29.763,188
34.603,189
31.738,190
36.404,191
38.327,192
36.519,193
32.636,194
34.96,195
35.596,196
34.259,197
34.426,198
34.722,199
35.522,200
37.444,201
39.682,202
38.28,203
37.554,204
42.872,205
39.264,206
43.171,207
51.016,208
43.219,209
44.139,210
41.878,211
47.792,212
45.209,213
45.963,214
46.331,215
47.343,216
47.762,217
51.516,218
49.29,219
52.339,220
47.216,221
48.224,222
48.844,223
49.868,224
52.729,225
55.88,226
55.2,227
52.882,228
52.706,229
53.844,230
57.745,231
60.9,232
56.184,233
57.631,234
62.457,235
60.497,236
58.957,237
59.776,238
63.794,239
65.838,240
73.173,241
67.803,242
69.004,243
65.713,244
71.354,245
72.965,246
72.878,247
69.418,248
73.786,249
76.317,250
81.156,251
78.466,252
84.231,253
80.6,254
79.343,255
104.529,256
84.248,257
81.505,258
86.381,259
82.933,260
86.474,261
86.787,262
93.904,263
91.823,264
94.612,265
98.522,266
100.078,267
98.591,268
90.614,269
96.586,270
96.037,271
91.611,272
109.191,273
100.556,274
110.753,275
104.935,276
104.472,277
104.329,278
110.753,279
104.984,280
110.896,281
110.857,282
107.891,283
109.907,284
110.086,285
116.494,286
118.386,287
126.266,288
115.921,289
116.655,290
126.202,291
125.719,292
125.222,293
131.047,294
132.595,295
123.785,296
130.359,297
132.584,298
132.832,299
142.626,300
135.871,301
134.736,302
138.984,303
138.204,304
143.008,305
142.618,306
156.98,307
140.135,308
142.604,309
145.633,310
146.019,311
147.241,312
156.695,313
154.689,314
170.701,315
151.962,316
170.695,317
167.005,318
165.3,319
177.011,320
170.985,321
166.398,322
181.578,323
169.033,324
169.315,325
170.971,326
172.767,327
175.106,328
181.706,329
181.247,330
182.795,331
176.938,332
196.539,333
185.825,334
195.766,335
178.397,336
191.086,337
197.047,338
191.562,339
204.003,340
213.912,341
219.296,342
207.185,343
198.834,344
199.98,345
214.495,346
208.146,347
214.213,348
211.488,349
221.604,350
213.752,351
239.252,352
214.326,353
222.74,354
225.157,355
229.455,356
225.32,357
229.079,358
233.187,359
233.704,360
235.212,361
238.716,362
235.861,363
249.986,364
243.337,365
259.873,366
252.029,367
239.609,368
261.598,369
257.924,370
258.866,371
272.277,372
273.649,373
275.003,374
277.025,375
270.51,376
276.461,377
280.311,378
284.562,379
282.434,380
296.299,381
294.983,382
295.652,383
352.256,384
306.921,385
305.462,386
303.185,387
312.646,388
308.529,389
318.264,390
325.145,391
310.233,392
320.36,393
345.909,394
341.868,395
328.083,396
338.378,397
342.494,398
338.773,399
328.462,400
337.596,401
352.312,402
349.761,403
354.222,404
365.945,405
349.867,406
357.144,407
357.593,408
367.306,409
381.804,410
382.53,411
374.666,412
378.942,413
378.792,414
384.341,415
406.583,416
388.974,417
402.819,418
403.759,419
406.258,420
414.655,421
412.782,422
418.207,423
409.046,424
424.875,425
427.242,426
433.132,427
427.059,428
432.178,429
441.538,430
427.038,431
413.662,432
438.828,433
435.238,434
446.975,435
440.392,436
454.968,437
454.462,438
492.711,439
471.779,440
461.968,441
470.643,442
461.797,443
473.368,444
478.612,445
488.685,446
490.321,447
523.202,448
497.631,449
502.054,450
506.299,451
499.634,452
511.854,453
528.934,454
537.117,455
513.45,456
528.444,457
536.532,458
546.874,459
526.666,460
554.523,461
536.428,462
559.536,463
529.574,464
553.693,465
556.198,466
564.497,467
574.968,468
568.739,469
579.33,470
572.191,471
561.693,472
593.16,473
587.26,474
589.064,475
621.326,476
597.249,477
593.247,478
601.925,479
621.669,480
612.692,481
620.169,482
628.945,483
626.517,484
645.437,485
629.556,486
630.282,487
634.072,488
646.327,489
649.791,490
657.031,491
660.683,492
674.345,493
659.889,494
673.295,495
655.63,496
683.39,497
678.292,498
706.665,499
693.512,500
715.458,501
698.703,502
732.852,503
691.415,504
712.735,505
721.476,506
723.01,507
732.855,508
733.15,509
751.207,510
758.581,511
